C:\Python27\python.exe C:/Users/Administrator/PycharmProjects/untitled/sina_stock4.py
无法获取代码为201000: 的股票信息
无法获取代码为201001: 的股票信息
无法获取代码为201002: 的股票信息
无法获取代码为201003: 的股票信息
无法获取代码为201004: 的股票信息
无法获取代码为201005: 的股票信息
无法获取代码为201008: 的股票信息
无法获取代码为201009: 的股票信息
无法获取代码为201010: 的股票信息
无法获取代码为202001: 的股票信息
无法获取代码为202003: 的股票信息
无法获取代码为202007: 的股票信息
无法获取代码为203007: 的股票信息
无法获取代码为203008: 的股票信息
无法获取代码为203009: 的股票信息
无法获取代码为203016: 的股票信息
无法获取代码为203017: 的股票信息
无法获取代码为203018: 的股票信息
无法获取代码为203019: 的股票信息
无法获取代码为203020: 的股票信息
无法获取代码为203021: 的股票信息
无法获取代码为203031: 的股票信息
无法获取代码为203032: 的股票信息
无法获取代码为203033: 的股票信息
无法获取代码为203040: 的股票信息
无法获取代码为203041: 的股票信息
无法获取代码为203042: 的股票信息
无法获取代码为203043: 的股票信息
无法获取代码为203044: 的股票信息
无法获取代码为203045: 的股票信息
无法获取代码为203049: 的股票信息
无法获取代码为203050: 的股票信息
无法获取代码为203051: 的股票信息
无法获取代码为203052: 的股票信息
无法获取代码为203053: 的股票信息
无法获取代码为203054: 的股票信息
无法获取代码为204001: 的股票信息
无法获取代码为204002: 的股票信息
无法获取代码为204003: 的股票信息
无法获取代码为204004: 的股票信息
无法获取代码为204007: 的股票信息
无法获取代码为204014: 的股票信息
无法获取代码为204028: 的股票信息
无法获取代码为204091: 的股票信息
无法获取代码为204182: 的股票信息
无法获取代码为500001: 的股票信息
无法获取代码为500002: 的股票信息
无法获取代码为500003: 的股票信息
无法获取代码为500005: 的股票信息
无法获取代码为500006: 的股票信息
无法获取代码为500007: 的股票信息
无法获取代码为500008: 的股票信息
无法获取代码为500009: 的股票信息
无法获取代码为500010: 的股票信息
无法获取代码为500011: 的股票信息
无法获取代码为500013: 的股票信息
无法获取代码为500015: 的股票信息
无法获取代码为500016: 的股票信息
无法获取代码为500017: 的股票信息
无法获取代码为500018: 的股票信息
无法获取代码为500019: 的股票信息
无法获取代码为500021: 的股票信息
无法获取代码为500025: 的股票信息
无法获取代码为500028: 的股票信息
无法获取代码为500029: 的股票信息
无法获取代码为500035: 的股票信息
无法获取代码为500038: 的股票信息
无法获取代码为500039: 的股票信息
无法获取代码为500056: 的股票信息
代码为500058当前值相对10天内的最大值下跌了： 0.101317122594 %
代码为501000当前值相对10天内的最大值下跌了： 0.532859680284 %
代码为501001当前值相对10天内的最大值下跌了： 1.24164278892 %
代码为501002当前值相对10天内的最大值下跌了： 1.64609053498 %
代码为501003当前值相对10天内的最大值下跌了： 1.17762512267 %
代码为501005当前值相对10天内的最大值下跌了： 0.54347826087 %
代码为501007当前值相对10天内的最大值下跌了： 1.76211453744 %
代码为501008当前值相对10天内的最大值下跌了： 0.328947368421 %
代码为501009当前值相对10天内的最大值下跌了： 3.3203125 %
代码为501010当前值相对10天内的最大值下跌了： 0.0 %
代码为501011当前值相对10天内的最大值下跌了： 2.47383444339 %
代码为501012当前值相对10天内的最大值下跌了： 2.62645914397 %
代码为501015当前值相对10天内的最大值下跌了： 1.03734439834 %
代码为501016当前值相对10天内的最大值下跌了： 9.3489148581 %
代码为501017当前值相对10天内的最大值下跌了： 2.7027027027 %
代码为501018当前值相对10天内的最大值下跌了： 1.44444444444 %
代码为501019当前值相对10天内的最大值下跌了： 0.924855491329 %
代码为501020当前值相对10天内的最大值下跌了： 1.03383458647 %
代码为501021当前值相对10天内的最大值下跌了： 0.230591852421 %
代码为501022当前值相对10天内的最大值下跌了： 0.979325353645 %
代码为501023当前值相对10天内的最大值下跌了： 0.177777777778 %
代码为501025当前值相对10天内的最大值下跌了： 1.20689655172 %
代码为501026当前值相对10天内的最大值下跌了： 1.35135135135 %
代码为501027当前值相对10天内的最大值下跌了： 0.0 %
代码为501028当前值相对10天内的最大值下跌了： 1.30434782609 %
代码为501029当前值相对10天内的最大值下跌了： 1.38248847926 %
代码为501030当前值相对10天内的最大值下跌了： 1.4598540146 %
代码为501031当前值相对10天内的最大值下跌了： 0.729927007299 %
代码为501032当前值相对10天内的最大值下跌了： 2.29166666667 %
代码为501050当前值相对10天内的最大值下跌了： 1.22914837577 %
代码为501300当前值相对10天内的最大值下跌了： 0.505050505051 %
代码为501301当前值相对10天内的最大值下跌了： 0.185185185185 %
代码为502000当前值相对10天内的最大值下跌了： 0.0 %
代码为502001当前值相对10天内的最大值下跌了： 0.0 %
代码为502002当前值相对10天内的最大值下跌了： 0.0 %
代码为502003当前值相对10天内的最大值下跌了： 1.57894736842 %
代码为502004当前值相对10天内的最大值下跌了： 1.33333333333 %
代码为502005当前值相对10天内的最大值下跌了： 1.30293159609 %
代码为502006当前值相对10天内的最大值下跌了： 0.673076923077 %
代码为502007当前值相对10天内的最大值下跌了： 1.59325210872 %
代码为502008当前值相对10天内的最大值下跌了： 0.779727095517 %
代码为502010当前值相对10天内的最大值下跌了： 2.18855218855 %
代码为502011当前值相对10天内的最大值下跌了： 1.92502532928 %
代码为502012当前值相对10天内的最大值下跌了： 1.79468772434 %
代码为502013当前值相对10天内的最大值下跌了： 0.692840646651 %
代码为502014当前值相对10天内的最大值下跌了： 1.25847047435 %
代码为502015当前值相对10天内的最大值下跌了： 0.426742532006 %
代码为502016当前值相对10天内的最大值下跌了： 4.07440212578 %
代码为502017当前值相对10天内的最大值下跌了： 4.19708029197 %
代码为502018当前值相对10天内的最大值下跌了： 2.87162162162 %
代码为502020当前值相对10天内的最大值下跌了： 2.29885057471 %
代码为502021当前值相对10天内的最大值下跌了： 0.0 %
代码为502022当前值相对10天内的最大值下跌了： 1.29640542133 %
代码为502023当前值相对10天内的最大值下跌了： 0.0716332378223 %
代码为502024当前值相对10天内的最大值下跌了： 8.57605177994 %
代码为502025当前值相对10天内的最大值下跌了： 7.44763382467 %
代码为502026当前值相对10天内的最大值下跌了： 1.15740740741 %
代码为502027当前值相对10天内的最大值下跌了： 2.21606648199 %
代码为502028当前值相对10天内的最大值下跌了： 7.46705710102 %
代码为502031当前值相对10天内的最大值下跌了： 6.22009569378 %
代码为502032当前值相对10天内的最大值下跌了： 8.2444228904 %
代码为502036当前值相对10天内的最大值下跌了： 1.58102766798 %
代码为502037当前值相对10天内的最大值下跌了： 0.0 %
代码为502038当前值相对10天内的最大值下跌了： 2.17391304348 %
代码为502040当前值相对10天内的最大值下跌了： 5.14184397163 %
代码为502041当前值相对10天内的最大值下跌了： 9.85306828003 %
代码为502042当前值相对10天内的最大值下跌了： 6.96474634566 %
代码为502048当前值相对10天内的最大值下跌了： 9.09090909091 %
代码为502049当前值相对10天内的最大值下跌了： 0.552486187845 %
代码为502050当前值相对10天内的最大值下跌了： 4.05319822673 %
代码为502053当前值相对10天内的最大值下跌了： 4.25943852856 %
代码为502054当前值相对10天内的最大值下跌了： 7.68566493955 %
代码为502055当前值相对10天内的最大值下跌了： 3.47734457323 %
